team_name,elo_rating
Argentina,1743.1627920072224
West Germany,1737.0883075433023
France,1732.294875314135
Germany,1716.9547039847528
Netherlands,1691.957685980956
Brazil,1670.8307285388198
Croatia,1659.6771340839464
Italy,1641.6236075857737
Belgium,1601.6707249332865
England,1577.1653832739203
Turkey,1559.2190980178343
Spain,1558.9390379212707
Sweden,1551.5146544786626
Uruguay,1547.5210665786803
Portugal,1541.6710116168053
Czechoslovakia,1519.4314143095223
Soviet Union,1517.846337947405
Senegal,1516.8500017280085
Ukraine,1515.6399121399568
Yugoslavia,1515.05076170053
Morocco,1513.596405158455
East Germany,1511.2033681835842
Austria,1510.8052987138299
Ecuador,1507.934805524042
Chile,1501.8861884034773
Poland,1501.3260981980486
Colombia,1498.4254549684347
Norway,1497.6420788899281
South Africa,1495.5270756092457
Cuba,1495.2932869398287
Israel,1494.0214626504567
Jamaica,1491.7178119030204
Paraguay,1491.6518394722934
Mexico,1490.9969794521385
Russia,1490.8085170826728
Costa Rica,1487.514894343055
Bosnia and Herzegovina,1487.5000076907238
Denmark,1487.239558741499
Slovakia,1486.7565852136784
Czech Republic,1485.7366046682153
Romania,1484.852261294017
Ivory Coast,1484.5643171015256
Hungary,1483.9173172378082
Republic of Ireland,1483.5228263123502
Angola,1482.8882923576105
Iceland,1478.0671033683498
New Zealand,1475.8338950646819
Dutch East Indies,1474.9944150759598
Trinidad and Tobago,1474.344790060873
Kuwait,1473.5021313463044
Northern Ireland,1473.3829502846563
Ghana,1471.4515310051017
Peru,1466.7251435397848
Wales,1465.788668115009
Qatar,1464.966107914017
China,1464.7042000718457
Switzerland,1464.4722797049633
Serbia and Montenegro,1464.0559367920184
Zaire,1463.0921005104753
United Arab Emirates,1461.5636098588325
Haiti,1460.6059357222894
Slovenia,1459.952748098694
Serbia,1459.703011224492
Togo,1458.025285023875
Algeria,1456.8486682805913
North Korea,1456.1471949157485
Panama,1455.8767506049146
Australia,1452.3027319231524
Iraq,1449.3594680052522
Scotland,1448.332401411552
Nigeria,1447.5641839978637
Japan,1441.2783871807064
Tunisia,1439.2724986797552
Cameroon,1438.1854102049676
Greece,1434.5166393684385
Bulgaria,1434.4620709438389
Bolivia,1433.6040880122678
South Korea,1433.0198927525848
United States,1429.540473477689
Canada,1426.9460857392962
Iran,1424.0468509555249
Egypt,1423.3107565927473
Honduras,1419.4588902061437
El Salvador,1413.6753967839234
Saudi Arabia,1403.5807413860894
