match_id,match_date,year,home_team_name,away_team_name,home_team_score,away_team_score,result_code,home_elo_before,away_elo_before,elo_diff,home_form_3,away_form_3,home_gf_3,away_gf_3,home_ga_3,away_ga_3,home_gd_3,away_gd_3,home_form_5,away_form_5,home_gf_5,away_gf_5,home_ga_5,away_ga_5,home_gd_5,away_gd_5,stage_code,went_to_et,went_to_pens
M-1930-01,1930-07-13,1930,France,Mexico,4,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False
M-1930-02,1930-07-13,1930,United States,Belgium,3,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False
M-1930-03,1930-07-14,1930,Yugoslavia,Brazil,2,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False
M-1930-04,1930-07-14,1930,Romania,Peru,3,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False
M-1930-05,1930-07-15,1930,Argentina,France,1,0,1,1500.0,1515.0,-15.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,1,False,False
M-1930-06,1930-07-16,1930,Chile,Mexico,3,0,1,1500.0,1485.0,15.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,-3.0,1,False,False
M-1930-07,1930-07-17,1930,Yugoslavia,Bolivia,4,0,1,1515.0,1500.0,15.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1,False,False
M-1930-08,1930-07-17,1930,United States,Paraguay,3,0,1,1515.0,1500.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1,False,False
M-1930-09,1930-07-18,1930,Uruguay,Peru,1,0,1,1500.0,1485.0,15.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,-2.0,1,False,False
M-1930-10,1930-07-19,1930,Chile,France,1,0,1,1514.3528000084657,1499.3528000084657,15.0,3.0,1.5,3.0,2.0,0.0,1.0,3.0,1.0,3.0,1.5,3.0,2.0,0.0,1.0,3.0,1.0,1,False,False
