player_name,position,club,market_value_millions,injured
Kylian Mbappé,FWD,PSG,180,false
Karim Benzema,FWD,Real Madrid,50,false
Antoine Griezmann,MID,Atletico Madrid,40,false
Aurélien Tchouaméni,MID,Real Madrid,75,false
Paul Pogba,MID,Juventus,65,false
Blaise Matuidi,MID,Juventus,15,false
N'Golo Kanté,MID,Chelsea,40,false
Eduardo Camavinga,MID,Real Madrid,60,false
Jules Koundé,DEF,Barcelona,55,false
Dayot Upamecano,DEF,Bayern Munich,50,false
Raphaël Varane,DEF,Manchester United,40,false
Benjamin Pavard,DEF,Bayern Munich,40,false
Theo Hernández,DEF,AC Milan,55,false
Lucas Hernández,DEF,Bayern Munich,45,false
Mike Maignan,GK,AC Milan,50,false
Steve Mandanda,GK,Rennes,3,false
Ousmane Dembélé,FWD,Barcelona,50,false
Christopher Nkunku,MID,RB Leipzig,60,false
Eduardo Camavinga,MID,Real Madrid,60,false
Youssouf Fofana,MID,AS Monaco,35,false
Matteo Guendouzi,MID,Lazio,20,false
Jonathan Clauss,DEF,Lens,12,false
William Saliba,DEF,Arsenal,35,false
